 speaker,vowel,f1,f2
1,i,240,2280
1,i,280,2400
1,I,390,2030
1,I,310,1980
1,E,490,1870
1,E,570,1700
1,{,560,1820
1,{,630,1700
1,V,590,1250
1,V,620,1300
1,A,740,1070
1,A,800,1060
1,O,600,970
1,O,660,980
1,U,440,1120
1,U,400,1070
1,u,240,1040
1,u,270,930
1,3',370,1520
1,3',460,1330
2,i,220,2220
2,i,210,2360
2,I,410,1890
2,I,420,1850
2,E,500,1760
2,E,510,1710
2,{,690,1610
2,{,700,1690
2,V,650,1080
2,V,625,1060
2,A,650,1040
2,A,670,1100
2,O,580,580
2,O,560,560
2,U,450,940
2,U,410,830
2,u,280,650
2,u,260,660
2,3',510,1210
2,3',510,1130
3,i,250,2180
3,i,244,2300
3,I,400,1930
3,I,400,1990
3,E,550,1810
3,E,540,1810
3,{,630,1710
3,{,658,1755
3,V,600,1200
3,V,612,1160
3,A,640,1080
3,A,720,1090
3,O,550,870
3,O,540,840
3,U,460,1150
3,U,456,1030
3,u,340,950
3,u,326,900
3,3',500,1370
3,3',530,1330
4,i,300,2240
4,i,280,2450
4,I,450,1960
4,I,440,2050
4,E,570,1780
4,E,555,1890
4,{,750,1610
4,{,770,1580
4,V,660,1200
4,V,675,1140
4,A,750,1100
4,A,800,1120
4,O,540,850
4,O,555,890
4,U,460,960
4,U,460,1000
4,u,380,950
4,u,385,850
4,3',590,1400
4,3',555,1430
5,i,310,2310
5,i,260,2250
5,I,440,2060
5,I,430,1880
5,E,580,1910
5,E,550,1770
5,{,830,1720
5,{,750,1690
5,V,630,1300
5,V,650,1170
5,A,760,1220
5,A,720,1260
5,O,540,970
5,O,550,880
5,U,470,1040
5,U,490,990
5,u,380,950
5,u,330,800
5,3',560,1510
5,3',510,1460
6,i,312,2350
6,i,330,2430
6,I,420,2000
6,I,313,2000
6,E,600,1860
6,E,570,1830
6,{,676,1670
6,{,725,1687
6,V,680,1150
6,V,726,1270
6,A,740,1100
6,A,670,960
6,O,660,1030
6,O,720,960
6,U,456,1080
6,U,450,1140
6,u,313,838
6,u,288,938
6,3',503,1305
6,3',505,1320
7,i,320,2320
7,i,310,2280
7,I,470,2000
7,I,410,2040
7,E,630,1900
7,E,614,1840
7,{,740,1800
7,{,775,1810
7,V,620,1240
7,V,640,1250
7,A,650,970
7,A,650,980
7,O,430,720
7,O,510,800
7,U,460,1120
7,U,493,1120
7,u,380,1040
7,u,400,1000
7,3',570,1300
7,3',565,1370
8,i,230,2480
8,i,218,2380
8,I,320,2200
8,I,206,2130
8,E,430,2100
8,E,515,1760
8,{,514,2060
8,{,552,1820
