Speaker	Vowel	Context	F1'	F2'	F1' gl	F2' gl
1	i	i	307.588	2922.083	NA	NA
1	i	i	358.852	3075.876	NA	NA
1	I	I	499.83	2601.679	NA	NA
1	I	I	397.301	2537.598	NA	NA
1	E	E	627.991	2396.62	NA	NA
1	E	E	730.521	2178.746	NA	NA
1	{	{	717.705	2332.54	NA	NA
1	{	{	807.418	2178.746	NA	NA
1	V	V	756.153	1602.019	NA	NA
1	V	V	794.601	1666.1	NA	NA
1	A	A	948.395	1371.328	NA	NA
1	A	A	1025.292	1358.512	NA	NA
1	O	O	768.969	1243.167	NA	NA
1	O	O	845.866	1255.983	NA	NA
1	U	U	563.911	1435.409	NA	NA
1	U	U	512.646	1371.328	NA	NA
1	u	u	307.588	1332.88	NA	NA
1	u	u	346.036	1191.902	NA	NA
1	3'	3'	474.198	1948.055	NA	NA
1	3'	3'	589.543	1704.548	NA	NA
2	i	i	302.985	3057.391	NA	NA
2	i	i	289.213	3250.199	NA	NA
2	I	I	564.653	2602.914	NA	NA
2	I	I	578.425	2547.826	NA	NA
2	E	E	688.602	2423.877	NA	NA
2	E	E	702.374	2355.017	NA	NA
2	{	{	950.27	2217.297	NA	NA
2	{	{	964.042	2327.473	NA	NA
2	V	V	895.182	1487.379	NA	NA
2	V	V	860.752	1459.835	NA	NA
2	A	A	895.182	1432.291	NA	NA
2	A	A	922.726	1514.923	NA	NA
2	O	O	798.778	798.778	NA	NA
2	O	O	771.234	771.234	NA	NA
2	U	U	619.741	1294.571	NA	NA
2	U	U	564.653	1143.078	NA	NA
2	u	u	385.617	895.182	NA	NA
2	u	u	358.073	908.954	NA	NA
2	3'	3'	702.374	1666.416	NA	NA
2	3'	3'	702.374	1556.239	NA	NA
3	i	i	316.547	2760.288	NA	NA
3	i	i	308.95	2912.231	NA	NA
3	I	I	506.475	2443.742	NA	NA
3	I	I	506.475	2519.713	NA	NA
3	E	E	696.403	2291.799	NA	NA
3	E	E	683.741	2291.799	NA	NA
3	{	{	797.698	2165.18	NA	NA
3	{	{	833.151	2222.159	NA	NA
3	V	V	759.712	1519.425	NA	NA
3	V	V	774.907	1468.777	NA	NA
3	A	A	810.36	1367.482	NA	NA
3	A	A	911.655	1380.144	NA	NA
3	O	O	696.403	1101.583	NA	NA
3	O	O	683.741	1063.597	NA	NA
3	U	U	582.446	1456.115	NA	NA
3	U	U	577.381	1304.173	NA	NA
3	u	u	430.504	1202.878	NA	NA
