type,sex,speaker,vowel,repetition,f0,f1,f2,f3
m,m,1,i,1,160,240,2280,2850
m,m,1,i,2,186,280,2400,2790
m,m,1,I,1,203,390,2030,2640
m,m,1,I,2,192,310,1980,2550
m,m,1,E,1,161,490,1870,2420
m,m,1,E,2,155,570,1700,2600
m,m,1,{,1,140,560,1820,2660
m,m,1,{,2,180,630,1700,2550
m,m,1,V,1,144,590,1250,2620
m,m,1,V,2,148,620,1300,2530
m,m,1,A,1,148,740,1070,2490
m,m,1,A,2,170,800,1060,2640
m,m,1,O,1,161,600,970,2280
m,m,1,O,2,158,660,980,2220
m,m,1,U,1,163,440,1120,2210
m,m,1,U,2,190,400,1070,2280
m,m,1,u,1,160,240,1040,2150
m,m,1,u,2,157,270,930,2280
m,m,1,3',1,177,370,1520,1670
m,m,1,3',2,164,460,1330,1590
m,m,2,i,1,147,220,2220,2910
m,m,2,i,2,148,210,2360,3250
m,m,2,I,1,141,410,1890,2680
m,m,2,I,2,139,420,1850,2500
m,m,2,E,1,136,500,1760,2590
m,m,2,E,2,135,510,1710,2380
m,m,2,{,1,128,690,1610,2560
m,m,2,{,2,131,700,1690,2580
m,m,2,V,1,140,650,1080,2420
m,m,2,V,2,125,625,1060,2490
m,m,2,A,1,140,650,1040,2450
m,m,2,A,2,136,670,1100,2430
m,m,2,O,1,149,580,580,2470
m,m,2,O,2,140,560,560,2410
m,m,2,U,1,145,450,940,1910
m,m,2,U,2,141,410,830,2240
m,m,2,u,1,140,280,650,3300
m,m,2,u,2,137,260,660,3300
m,m,2,3',1,145,510,1210,1570
m,m,2,3',2,145,510,1130,1510
m,m,3,i,1,105,250,2180,2680
m,m,3,i,2,111,244,2300,2780
m,m,3,I,1,100,400,1930,2610
m,m,3,I,2,104,400,1990,2700
m,m,3,E,1,100,550,1810,2500
m,m,3,E,2,95,540,1810,2480
m,m,3,{,1,93,630,1710,2400
m,m,3,{,2,94,658,1755,2305
m,m,3,V,1,100,600,1200,2320
m,m,3,V,2,105,612,1160,2350
m,m,3,A,1,91,640,1080,2140
m,m,3,A,2,94,720,1090,2230
m,m,3,O,1,92,550,870,2300
m,m,3,O,2,120,540,840,2280
m,m,3,U,1,114,460,1150,2290
m,m,3,U,2,114,456,1030,2300
m,m,3,u,1,112,340,950,2240
m,m,3,u,2,112,326,900,2190
m,m,3,3',1,100,500,1370,1780
m,m,3,3',2,106,530,1330,1800
m,m,4,i,1,150,300,2240,3400
m,m,4,i,2,156,280,2450,3200
m,m,4,I,1,156,450,1960,2400
m,m,4,I,2,146,440,2050,2360
m,m,4,E,1,130,570,1780,2410
m,m,4,E,2,150,555,1890,2440
m,m,4,{,1,125,750,1610,2340
m,m,4,{,2,136,770,1580,2350
m,m,4,V,1,132,660,1200,2330
m,m,4,V,2,150,675,1140,2380
m,m,4,A,1,125,750,1100,2550
m,m,4,A,2,138,800,1120,2500
m,m,4,O,1,143,540,850,2320
m,m,4,O,2,150,555,890,2370
m,m,4,U,1,136,460,960,2210
m,m,4,U,2,156,460,1000,2350
m,m,4,u,1,140,380,950,2050
m,m,4,u,2,148,385,850,2330
m,m,4,3',1,150,590,1400,1840
m,m,4,3',2,145,555,1430,1730
m,m,5,i,1,140,310,2310,2820
m,m,5,i,2,131,260,2250,2850
m,m,5,I,1,137,440,2060,2640
m,m,5,I,2,134,430,1880,2450
m,m,5,E,1,140,580,1910,2500
m,m,5,E,2,137,550,1770,2400
m,m,5,{,1,143,830,1720,2180
m,m,5,{,2,135,750,1690,2320
m,m,5,V,1,136,630,1300,1950
m,m,5,V,2,130,650,1170,2000
m,m,5,A,1,131,760,1220,2140
m,m,5,A,2,126,720,1260,2020
m,m,5,O,1,136,540,970,1980
m,m,5,O,2,124,550,880,1950
m,m,5,U,1,133,470,1040,1990
m,m,5,U,2,132,490,990,1920
m,m,5,u,1,141,380,950,2140
m,m,5,u,2,133,330,800,2130
m,m,5,3',1,143,560,1510,1800
m,m,5,3',2,136,510,1460,1700
m,m,6,i,1,125,312,2350,2800
m,m,6,i,2,119,330,2430,2870
m,m,6,I,1,133,420,2000,2660
m,m,6,I,2,125,313,2000,2750
m,m,6,E,1,120,600,1860,2500
m,m,6,E,2,114,570,1830,2570
m,m,6,{,1,119,676,1670,2540
m,m,6,{,2,125,725,1687,2500
m,m,6,V,1,118,680,1150,2560
m,m,6,V,2,125,726,1270,2560
m,m,6,A,1,125,740,1100,2680
m,m,6,A,2,113,670,960,2650
m,m,6,O,1,120,660,1030,2690
m,m,6,O,2,125,720,960,2700
m,m,6,U,1,120,456,1080,2520
m,m,6,U,2,120,450,1140,2600
m,m,6,u,1,125,313,838,2340
m,m,6,u,2,125,288,938,2450
m,m,6,3',1,120,503,1305,1775
m,m,6,3',2,120,505,1320,1750
m,m,7,i,1,186,320,2320,3120
m,m,7,i,2,172,310,2280,3020
m,m,7,I,1,167,470,2000,2660
m,m,7,I,2,170,410,2040,2715
m,m,7,E,1,167,630,1900,2860
m,m,7,E,2,146,614,1840,2770
m,m,7,{,1,143,740,1800,2450
m,m,7,{,2,162,775,1810,2200
m,m,7,V,1,167,620,1240,2410
m,m,7,V,2,160,640,1250,2400
m,m,7,A,1,162,650,970,2580
m,m,7,A,2,163,650,980,2350
m,m,7,O,1,145,430,720,2450
m,m,7,O,2,171,510,800,2500
m,m,7,U,1,170,460,1120,2150
m,m,7,U,2,170,493,1120,2300
m,m,7,u,1,175,380,1040,2260
m,m,7,u,2,200,400,1000,2350
m,m,7,3',1,167,570,1300,1750
m,m,7,3',2,157,565,1370,1710
m,m,8,i,1,105,230,2480,3200
m,m,8,i,2,109,218,2380,3100
m,m,8,I,1,110,320,2200,2680
m,m,8,I,2,103,206,2130,2570
m,m,8,E,1,107,430,2100,2630
m,m,8,E,2,105,515,1760,2470
m,m,8,{,1,107,514,2060,2600
m,m,8,{,2,106,552,1820,2500
m,m,8,V,1,108,640,1300,2300
m,m,8,V,2,104,624,1350,2410
m,m,8,A,1,111,714,1170,2420
m,m,8,A,2,97,650,1150,2350
m,m,8,O,1,107,590,965,2500
m,m,8,O,2,109,578,970,2460
m,m,8,U,1,111,467,1110,2400
m,m,8,U,2,105,475,1220,2310
m,m,8,u,1,107,270,910,2200
m,m,8,u,2,108,260,975,2320
m,m,8,3',1,107,460,1400,1790
m,m,8,3',2,103,425,1410,1760
m,m,9,i,1,175,316,2200,2800
m,m,9,i,2,175,280,2275,2775
m,m,9,I,1,167,450,1820,2475
m,m,9,I,2,167,434,1850,2425
m,m,9,E,1,157,582,1725,2375
m,m,9,E,2,158,586,1800,2425
m,m,9,{,1,150,600,1750,2375
m,m,9,{,2,145,582,1775,2375
m,m,9,V,1,145,626,1125,2200
m,m,9,V,2,160,641,1120,2225
m,m,9,A,1,144,708,1054,2420
m,m,9,A,2,150,705,1050,2375
m,m,9,O,1,146,614,848,2200
m,m,9,O,2,143,600,860,2175
m,m,9,U,1,167,500,1000,2325
m,m,9,U,2,167,500,1000,2325
m,m,9,u,1,167,334,1150,2200
m,m,9,u,2,183,312,1020,2300
m,m,9,3',1,157,518,1305,1570
m,m,9,3',2,157,504,1210,1510
m,m,10,i,1,129,260,2260,2820
m,m,10,i,2,125,250,2200,2825
m,m,10,I,1,146,400,2040,2500
m,m,10,I,2,144,389,2000,2425
m,m,10,E,1,126,500,1870,2500
m,m,10,E,2,125,500,1775,2450
m,m,10,{,1,110,660,1650,2500
m,m,10,{,2,120,624,1700,2475
m,m,10,V,1,122,650,1220,2550
m,m,10,V,2,120,672,1260,2500
m,m,10,A,1,114,750,1080,2680
m,m,10,A,2,114,777,1026,2625
m,m,10,O,1,115,580,800,2650
m,m,10,O,2,117,585,819,2625
m,m,10,U,1,140,480,950,2500
m,m,10,U,2,127,461,993,2350
m,m,10,u,1,140,280,950,2300
m,m,10,u,2,133,266,920,2300
m,m,10,3',1,128,500,1340,1700
m,m,10,3',2,133,532,1275,1600
m,m,11,i,1,146,248,2225,3100
m,m,11,i,2,140,238,2175,3075
m,m,11,I,1,150,405,1925,2550
m,m,11,I,2,138,416,1940,2600
m,m,11,E,1,147,588,1790,2500
m,m,11,E,2,133,586,1725,2650
m,m,11,{,1,145,725,1700,2425
m,m,11,{,2,127,710,1650,2220
m,m,11,V,1,136,586,1078,2300
m,m,11,V,2,136,627,1038,2360
m,m,11,A,1,145,725,1046,2325
m,m,11,A,2,131,746,1018,2300
m,m,11,O,1,140,560,840,2500
m,m,11,O,2,140,560,924,2350
m,m,11,U,1,150,495,1080,2275
m,m,11,U,2,143,430,1030,2275
m,m,11,u,1,162,290,760,2300
m,m,11,u,2,157,315,850,2025
m,m,11,3',1,150,511,1561,1876
m,m,11,3',2,138,530,1450,1887
m,m,12,i,1,110,220,2410,3000
m,m,12,i,2,125,240,2440,3280
m,m,12,I,1,120,450,1880,2450
m,m,12,I,2,118,380,1930,2420
m,m,12,E,1,115,560,1650,2300
m,m,12,E,2,123,560,1720,2300
m,m,12,{,1,110,680,1720,2330
m,m,12,{,2,133,630,1680,2280
m,m,12,V,1,110,560,1430,2250
m,m,12,V,2,120,560,1390,2240
m,m,12,A,1,108,800,1330,2260
m,m,12,A,2,110,740,1240,2280
m,m,12,O,1,120,600,920,2080
m,m,12,O,2,133,580,910,2000
m,m,12,U,1,130,400,1200,2210
m,m,12,U,2,110,420,1230,2230
m,m,12,u,1,122,300,900,2130
m,m,12,u,2,123,260,1010,2240
m,m,12,3',1,125,400,1450,1650
m,m,12,3',2,128,360,1410,1640
m,m,13,i,1,142,290,2290,2600
m,m,13,i,2,135,260,2290,2700
m,m,13,I,1,132,390,1950,2550
m,m,13,I,2,135,400,1900,2450
m,m,13,E,1,124,490,1740,2500
m,m,13,E,2,125,500,1780,2430
m,m,13,{,1,125,660,1630,2500
m,m,13,{,2,132,670,1630,2380
m,m,13,V,1,140,600,1220,2530
m,m,13,V,2,125,600,1210,2430
m,m,13,A,1,125,680,1120,2630
m,m,13,A,2,128,670,1100,2700
m,m,13,O,1,127,510,720,2450
m,m,13,O,2,120,480,710,2540
m,m,13,U,1,133,380,910,2350
m,m,13,U,2,140,440,1030,2400
m,m,13,u,1,127,350,720,2750
m,m,13,u,2,140,380,740,2880
m,m,13,3',1,128,430,1370,1610
m,m,13,3',2,135,440,1360,1600
m,m,14,i,1,114,228,2350,2860
m,m,14,i,2,118,220,2350,2920
m,m,14,I,1,110,407,2070,2500
m,m,14,I,2,112,420,1900,2450
m,m,14,E,1,106,445,2020,2420
m,m,14,E,2,115,470,2020,2500
m,m,14,{,1,103,721,1680,2400
m,m,14,{,2,109,750,1710,2440
m,m,14,V,1,104,552,1122,2500
m,m,14,V,2,115,580,1150,2600
m,m,14,A,1,98,686,1078,2570
m,m,14,A,2,103,700,1050,2680
m,m,14,O,1,102,560,665,2620
m,m,14,O,2,106,550,650,2700
m,m,14,U,1,112,448,980,2370
m,m,14,U,2,104,410,940,2370
m,m,14,u,1,116,232,696,2200
m,m,14,u,2,117,222,665,2080
m,m,14,3',1,120,432,1300,1400
m,m,14,3',2,111,420,1300,1570
m,m,15,i,1,121,230,2100,2850
m,m,15,i,2,118,240,2000,2980
m,m,15,I,1,130,365,1900,2340
m,m,15,I,2,119,300,2040,2560
m,m,15,E,1,112,440,1980,2310
m,m,15,E,2,120,410,2050,2500
m,m,15,{,1,133,620,1710,2110
m,m,15,{,2,124,660,1800,2150
m,m,15,V,1,120,660,1000,2380
m,m,15,V,2,110,660,960,2450
m,m,15,A,1,122,600,830,2250
m,m,15,A,2,119,620,820,2400
m,m,15,O,1,117,500,620,2250
m,m,15,O,2,106,550,700,2550
m,m,15,U,1,140,390,730,2180
m,m,15,U,2,130,360,740,2200
m,m,15,u,1,131,260,720,2100
m,m,15,u,2,132,260,740,2040
m,m,15,3',1,125,450,1230,1600
m,m,15,3',2,127,460,1300,1650
m,m,16,i,1,150,300,2355,3250
m,m,16,i,2,150,300,2460,3280
m,m,16,I,1,160,385,2242,2805
m,m,16,I,2,150,407,2250,2780
m,m,16,E,1,140,504,2090,2720
m,m,16,E,2,146,543,1980,2640
m,m,16,{,1,133,680,1958,2542
m,m,16,{,2,141,708,1840,2535
m,m,16,V,1,150,675,1320,2550
m,m,16,V,2,150,704,1393,2550
m,m,16,A,1,137,825,1168,2750
m,m,16,A,2,135,840,1210,2680
m,m,16,O,1,143,671,1000,2670
m,m,16,O,2,147,690,968,2660
m,m,16,U,1,143,443,1273,2430
m,m,16,U,2,153,459,1286,2410
m,m,16,u,1,146,395,1300,2160
m,m,16,u,2,153,400,1320,2150
m,m,16,3',1,140,532,1500,1890
m,m,16,3',2,146,538,1460,1818
m,m,17,i,1,120,264,2290,2700
m,m,17,i,2,128,256,2305,2635
m,m,17,I,1,112,380,1880,2440
m,m,17,I,2,115,346,1930,2390
m,m,17,E,1,100,510,1780,2300
m,m,17,E,2,108,520,1730,2275
m,m,17,{,1,100,630,1770,2350
m,m,17,{,2,105,630,1642,2170
m,m,17,V,1,103,601,1273,2130
m,m,17,V,2,105,590,1283,2150
m,m,17,A,1,100,750,1150,2440
m,m,17,A,2,95,703,1092,2320
m,m,17,O,1,97,565,780,2350
m,m,17,O,2,106,584,849,2460
m,m,17,U,1,105,420,1100,2140
m,m,17,U,2,111,422,1200,2175
m,m,17,u,1,117,315,1080,2260
m,m,17,u,2,125,326,1125,2210
m,m,17,3',1,111,444,1300,1625
m,m,17,3',2,109,469,1288,1600
m,m,18,i,1,124,210,2100,3090
m,m,18,i,2,130,220,2080,3180
m,m,18,I,1,128,280,2000,2710
m,m,18,I,2,130,310,1950,2670
m,m,18,E,1,121,470,1910,2580
m,m,18,E,2,129,490,1930,2650
m,m,18,{,1,116,640,1620,2200
m,m,18,{,2,118,650,1580,2360
m,m,18,V,1,121,610,1100,2230
m,m,18,V,2,126,620,1120,2330
m,m,18,A,1,118,700,1100,2240
m,m,18,A,2,120,670,1100,2220
m,m,18,O,1,122,460,720,2180
m,m,18,O,2,118,470,690,2200
m,m,18,U,1,129,320,770,1860
m,m,18,U,2,130,310,790,1920
m,m,18,u,1,140,210,670,1900
m,m,18,u,2,148,240,730,1850
m,m,18,3',1,128,390,1320,1550
m,m,18,3',2,124,420,1240,1510
m,m,19,i,1,129,190,2650,3280
m,m,19,i,2,135,190,2700,3170
m,m,19,I,1,132,370,1750,2700
m,m,19,I,2,130,370,1800,2750
m,m,19,E,1,122,370,1680,2560
m,m,19,E,2,125,375,1700,2500
m,m,19,{,1,121,550,1570,2600
m,m,19,{,2,120,530,1610,2650
m,m,19,V,1,118,570,1050,2500
m,m,19,V,2,125,590,1100,2480
m,m,19,A,1,112,640,970,2870
m,m,19,A,2,122,670,980,2900
m,m,19,O,1,113,560,860,2900
m,m,19,O,2,121,570,820,2820
m,m,19,U,1,125,350,1000,2500
m,m,19,U,2,130,380,920,2370
m,m,19,u,1,130,250,1000,2100
m,m,19,u,2,140,210,960,1940
m,m,19,3',1,130,360,1300,1920
m,m,19,3',2,133,370,1300,1760
m,m,20,i,1,127,250,2180,2660
m,m,20,i,2,131,260,2210,2780
m,m,20,I,1,121,400,1900,2440
