speaker,vowel,context,f1,f2,f3,f1 glide,f2 glide,f3 glide
34,i,i,370,2670,3100,,,
34,i,i,390,2760,3060,,,
34,I,I,468,2330,2930,,,
34,I,I,410,2380,2950,,,
34,E,E,550,2200,2880,,,
34,E,E,570,2100,3040,,,
34,{,{,800,1980,2810,,,
34,{,{,860,1920,2850,,,
34,V,V,635,1200,3250,,,
34,V,V,700,1200,3100,,,
34,A,A,880,1240,2870,,,
34,A,A,830,1200,2880,,,
34,O,O,570,830,3300,,,
34,O,O,700,1000,3130,,,
34,U,U,410,940,3040,,,
34,U,U,450,970,3190,,,
34,u,u,480,955,2960,,,
34,u,u,395,810,2900,,,
34,3',3',500,1850,2100,,,
34,3',3',560,1750,2100,,,
35,i,i,270,2760,3550,,,
35,i,i,290,2700,3350,,,
35,I,I,460,2500,3220,,,
35,I,I,410,2400,3240,,,
35,E,E,620,2300,3200,,,
35,E,E,630,2300,3170,,,
35,{,{,820,2180,2850,,,
35,{,{,740,2120,3070,,,
35,V,V,800,1300,2900,,,
35,V,V,760,1400,2830,,,
35,A,A,850,1120,2620,,,
35,A,A,880,1220,2850,,,
35,O,O,460,900,2830,,,
35,O,O,440,880,2850,,,
35,U,U,500,1040,2750,,,
35,U,U,490,1000,2720,,,
35,u,u,400,940,2720,,,
35,u,u,410,860,2700,,,
35,3',3',440,1560,1750,,,
35,3',3',420,1600,1750,,,
36,i,i,290,2700,3020,,,
36,i,i,280,2630,3240,,,
36,I,I,420,2300,2950,,,
36,I,I,420,2220,2980,,,
36,E,E,640,2120,2900,,,
36,E,E,700,2000,2900,,,
36,{,{,1000,1830,2820,,,
36,{,{,980,1800,2820,,,
36,V,V,780,1410,2720,,,
36,V,V,710,1450,2750,,,
36,A,A,950,1280,2600,,,
36,A,A,870,1260,2740,,,
36,O,O,610,900,2710,,,
36,O,O,630,840,2700,,,
36,U,U,440,1050,2780,,,
36,U,U,420,1050,2740,,,
36,u,u,380,860,2500,,,
36,u,u,330,750,2740,,,
36,3',3',580,1450,1720,,,
36,3',3',540,1560,1900,,,
37,i,i,294,2800,3100,,,
37,i,i,270,2880,3160,,,
37,I,I,420,2430,3030,,,
37,I,I,420,2370,2930,,,
37,E,E,580,2180,2770,,,
37,E,E,540,2160,2770,,,
37,{,{,820,1970,2620,,,
37,{,{,840,2000,2700,,,
37,V,V,690,1200,2900,,,
37,V,V,666,1206,2900,,,
37,A,A,800,1200,2920,,,
37,A,A,760,1140,2850,,,
37,O,O,560,760,2800,,,
37,O,O,560,770,3000,,,
37,U,U,430,1075,2580,,,
37,U,U,430,1000,2700,,,
37,u,u,330,840,2550,,,
37,u,u,280,850,2500,,,
37,3',3',430,1800,1930,,,
37,3',3',420,1740,1960,,,
38,i,i,350,2800,3160,,,
38,i,i,338,2870,3300,,,
38,I,I,400,2540,3200,,,
38,I,I,420,2680,3000,,,
38,E,E,518,2470,3200,,,
38,E,E,600,2400,3150,,,
38,{,{,773,2000,2870,,,
38,{,{,875,2100,2970,,,
38,V,V,733,1468,2700,,,
38,V,V,740,1280,2900,,,
38,A,A,730,1210,2740,,,
38,A,A,735,1220,2850,,,
38,O,O,560,960,2850,,,
38,O,O,536,850,2850,,,
38,U,U,424,1040,2780,,,
38,U,U,520,1060,2670,,,
